Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector/Industry,Industry,Volume (90 Day Avg),Price Performance (52 Weeks),Total Return (5 Yr Annualized),Standard Deviation (5 Yr Annualized),P/E (Next Year's Estimate),Beta (5 Yr Annualized),Dividend Yield,Shares Outstanding,Institutional Ownership,Beta (10 Yr Annualized),Beta (1 Year Annualized)
EBMT,Eagle Bancorp Montana Inc,CS,11.72,$44.4M,Financials,Banks,0.00699,6.91538,6.28796,0.0952,11.51961,0.237169313,2.6383,3.777,31.9407,,0.066024074
CPSI,Computer Programs and Systems Inc,CS,48.72,$572.9M,Health Care,Health Care Technology,0.12355,-13.42442,6.0275,0.31583,21.56104,0.238934769,5.05031,11.303,90.5942,0.518862875,0.886384046
DPS,Dr Pepper Snapple Group Inc,CS,89.75,$17.1B,Consumer Staples,Beverages,1.21956,24.25573,23.02352,0.1521,20.91203,0.239967074,2.11991,188.892,90.5547,,0.648527958
AWK,American Water Works Company Inc,CS,57.76,$10.4B,Utilities,Water Utilities,0.85692,10.69794,21.79887,0.12417,20.59241,0.240211503,2.34281,179.469,81.7294,,0.306323471
FULL,Full Circle Capital Corp,CS,2.84,$65.8M,Financials,Capital Markets,0.06559,-49.2201,-7.93214,0.19314,5.97959,0.244343079,14.33447,22.472,22.1737,,0.607071802
GOLD,Randgold Resources Ltd,DR,60.6,$5.6B,Materials,Metals & Mining,0.934,-14.56559,-8.28871,0.36289,27.41686,0.244402806,0.99701,93.211,43.4354,0.415834519,0.122896257
TBNK,Territorial Bancorp Inc,CS,28.8,$280.6M,Financials,Thrifts & Mortgage Finance,0.03631,37.91142,12.30342,0.12215,16.80814,0.244537591,2.34564,9.68,45.2638,,0.270799699
LPTH,LightPath Technologies Inc,CS,1.73,$26.2M,Information Technology,Electronic Equipment Instruments & Components,0.0594,42.14876,0.59176,0.72669,24.57143,0.245853209,,15.24,6.3343,0.835360478,-0.695705761
NLY,Annaly Capital Management Inc,CSRT,9.58,$9.2B,Financials,Real Estate Investment Trusts (REITs),8.89719,-15.97222,-0.3734,0.17884,8.76812,0.245964265,12.39669,947.836,54.4509,0.311395102,0.333395422
LMNX,Luminex Corp,CS,21.48,$943.1M,Health Care,Life Sciences Tools & Services,0.25588,17.67867,4.99905,0.28607,38.00347,0.246883721,,43.062,75.7118,0.448651255,0.350262868
ENSV,Enservco Corp,CS,0.61,$24.8M,Energy,Energy Equipment & Services,0.06512,-70.85202,9.12715,0.77432,14.52381,0.248580824,,38.115,20.5415,0.815554174,1.455330592
NTT,Nippon Telegraph & Telephone Corp Ntt,DR,37.27,$79.8B,Telecommunication Services,Diversified Telecommunication Services,0.38252,39.46501,14.12084,0.18591,13.66065,0.248701195,1.96311,2096.185,1.3794,0.275097454,0.422280697
HE,Hawaiian Electric Industries Inc.,CS,28.57,$3.1B,Utilities,Electric Utilities,0.31506,2.78683,10.01003,0.158,16.08154,0.249810924,4.3662,107.459,42.7198,0.459522806,0.489022574
FMBM,F & M Bank Corp,CS,23.75,$78.8M,--,--,0.00136,25,14.99968,0.209,10.76233,0.257806391,3.16667,3.285,3.7224,0.127149921,
CHT,Chunghwa Telecom Co Ltd,DR,30.4,$23.6B,Telecommunication Services,Diversified Telecommunication Services,0.28899,1.0989,5.46752,0.10242,19,0.260357037,4.88056,775.745,3.9236,0.379242185,0.283364762
AGNC,American Capital Agency Corp,CSRT,17.95,$6.2B,Financials,Real Estate Investment Trusts (REITs),3.3935,-21.86551,5.48128,0.18692,8.13093,0.261811887,13.32593,346.45,60.093,,0.486080692
XBKS,Xenith Bankshares Inc,CS,6.71,$88.1M,Financials,Banks,0.01092,4.79458,3.35045,0.24584,17.5,0.261960492,,12.989,30.3715,0.844802135,-0.036306982
PEG,Public Service Enterprise Group Inc,CS,39.11,$19.8B,Utilities,Multi-Utilities,3.35379,-5.07158,9.52184,0.15902,13.35846,0.262601678,3.98773,505.962,66.0184,0.447591892,0.57727644
AEP,American Electric Power Co Inc,CS,56.01,$27.5B,Utilities,Electric Utilities,2.93667,-2.79757,14.14916,0.14886,14.95697,0.26353684,4.00429,490.817,67.2577,0.489975263,0.387820784
APU,Amerigas Partners LP,UT,39.18,$3.6B,Utilities,Gas Utilities,0.23001,-17.61614,3.27406,0.16079,14.13781,0.273799375,9.39015,92.893,25.7819,0.405948931,0.642549259
NWN,Northwest Natural Gas Co,CS,48.75,$1.3B,Utilities,Gas Utilities,0.11528,3.16172,3.67284,0.12998,20.81466,0.274680343,3.87244,27.372,60.36,0.302371217,0.562402477
KMB,Kimberly-Clark Corp,CS,119.15,$43.9B,Consumer Staples,Household Products,1.52991,5.8602,19.55003,0.14289,19.58036,0.274856527,2.9127,362.994,67.5051,0.386358588,0.738287477
VGR,Vector Group Ltd,CS,25.31,$3.1B,Consumer Staples,Tobacco,0.64605,21.46204,27.46432,0.15989,31.325,0.275667053,6.05648,122.592,43.8219,0.432703674,0.741209806
TIS,Orchids Paper Products Co,CS,29.58,$314M,Consumer Staples,Household Products,0.05688,9.88142,23.91322,0.28901,16.68306,0.280896889,4.57816,10.269,42.4242,0.479915473,0.472126917
AZO,AutoZone Inc,CS,783.77,$24B,Consumer Discretionary,Specialty Retail,0.26073,38.23938,24.81285,0.14384,17.28334,0.281601275,,30.485,93.8863,0.425760386,0.487158562
PCG,PG&E Corp,CS,52.73,$25.9B,Utilities,Multi-Utilities,3.29733,5.6668,6.56405,0.16486,13.97758,0.284898685,3.44893,490.454,80.9434,0.303621342,0.241443672
CWBK,Commercewest Bank NA,CS,14.75,--,--,--,,10.71161,23.71457,0.21907,11.73016,0.2853502,,2.626,24.025,0.424150563,0.024907734
WR,Westar Energy Inc.,CS,42.675,$6B,Utilities,Electric Utilities,1.10075,8.54438,16.07726,0.14687,17.17143,0.285829414,3.39383,141.338,69.9794,0.535756702,0.556491985
DLR,Digital Realty Trust Inc,CSRT,72.08,$10.6B,Financials,Real Estate Investment Trusts (REITs),1.21047,3.26227,12.20155,0.20898,52.71124,0.288866476,4.7111,146.344,99.9516,0.865823013,0.460625304
NFBK,Northfield Bancorp Inc,CS,15.94,$725M,Financials,Thrifts & Mortgage Finance,0.17955,11.72753,14.26456,0.11063,29.08592,0.290020526,1.7599,45.566,55.3406,,0.270700674
ABX,Barrick Gold Corp,CS,7.34,$8.3B,Materials,Metals & Mining,20.83638,-45.0116,-31.36163,0.40253,15.59211,0.290194454,1.12518,1164.797,55.0549,0.336773859,0.506280175
EE,El Paso Electric Co,CS,38.64,$1.5B,Utilities,Electric Utilities,0.17168,0.86888,10.50726,0.16027,15.10012,0.290689801,3.08014,40.427,96.7133,0.559116343,0.611099363
ACU,Acme United Corp,CS,17.1248,$57.6M,Industrials,Commercial Services & Supplies,0.00422,-2.89608,14.32232,0.13984,10.82278,0.29119388,2.10526,3.371,44.924,0.576533206,0.122980449
SGBK,Stonegate Bank,CS,33.8,$341.8M,Financials,Banks,0.03536,20.37236,20.57365,0.13277,15.51454,0.291643997,0.47591,10.167,52.2466,0.26125164,0.291251327
ABCO,Advisory Board Company (The),CS,53.84,$2.2B,Industrials,Professional Services,0.36674,23.96151,17.02118,0.30657,31.59377,0.294144897,,41.894,95.9927,0.654060053,0.208211504
VZ,Verizon Communications Inc,CS,45.45,$184B,Telecommunication Services,Diversified Telecommunication Services,14.28129,-9.61231,12.92654,0.15396,11.32449,0.294639838,4.99668,4068.873,62.8897,0.524641067,0.863964622
INBK,First Internet Bancorp,CS,31.89,$142.3M,Financials,Banks,0.01981,77.47345,32.89584,0.32361,13.72609,0.297173904,0.75591,4.481,28.3648,0.566922209,0.229832583
UCFC,United Community Financial Corp.,CS,5.88,$280M,Financials,Thrifts & Mortgage Finance,0.09193,12,39.12309,0.57074,15,0.297391118,1.70068,47.624,57.0234,1.459930794,0.705363862
AEE,Ameren Corp,CS,43.76,$10.5B,Utilities,Multi-Utilities,1.72941,0.46393,13.68402,0.14237,15.89687,0.298639897,3.78665,242.635,65.072,0.580452497,0.529833002
STAA,STAAR Surgical Company,CS,8.39,$338.3M,Health Care,Health Care Equipment & Supplies,0.1203,-8.91515,9.77333,0.60038,75.89286,0.303881509,,39.889,79.2835,1.0783368,2.010249756
PMBC,Pacific Mercantile Bancorp,CS,6.76,$154.6M,Financials,Banks,0.0374,-0.58651,12.33578,0.29607,42.25,0.308470523,,22.809,39.9533,0.806013355,0.040225974
PPL,PPL Corp,CS,34.04,$22.6B,Utilities,Electric Utilities,4.62536,2.91773,12.71388,0.13614,14.51682,0.310215913,4.48737,672.846,69.5688,0.406796677,0.671415382
ETR,Entergy Corp.,CS,66.63,$11.8B,Utilities,Electric Utilities,1.45755,-19.47183,3.02734,0.16965,13.22007,0.310379819,5.13828,178.387,84.5453,0.536926217,0.463125502
POM,Pepco Holdings Inc.,CS,25.66,$6.4B,Utilities,Electric Utilities,2.3643,-8.00874,12.24834,0.19048,22.09483,0.316465376,4.27384,253.617,62.6828,0.483673767,0.227081587
DTE,DTE Energy Co,CS,80.49,$14.4B,Utilities,Multi-Utilities,1.07781,-0.61981,16.79268,0.13626,16.11784,0.318214024,3.64226,179.476,63.5789,0.56465887,0.417367204
EXC,Exelon Corp,CS,27.31,$25.4B,Utilities,Electric Utilities,8.86797,-23.63837,-2.51025,0.1893,10.81864,0.320412421,4.4895,919.564,74.478,0.528387741,0.575964866
HNRG,Hallador Energy Co,CS,6.74,$193.2M,Energy,"Oil, Gas & Consumable Fuels",0.11878,-43.11377,-9.23396,0.38842,11.24378,0.322142029,2.40602,29.059,32.0574,,0.691034555
FXCB,Fox Chase Bancorp Inc,CS,18.27,$211M,Financials,Thrifts & Mortgage Finance,0.0226,10.11643,14.38329,0.12123,21.7485,0.322272057,3.07692,11.591,62.1837,,0.201831322
AMT,American Tower Corp,CSRT,99.38,$42.2B,Financials,Real Estate Investment Trusts (REITs),2.22116,-4.79465,15.43552,0.15326,41.0037,0.323183221,1.84591,423.57,95.2418,0.607338132,0.685722788
NNN,National Retail Properties Inc,CSRT,38.45,$5.3B,Financials,Real Estate Investment Trusts (REITs),1.21642,1.57853,13.41002,0.18271,29.05015,0.323377242,4.5066,136.162,89.165,0.821654477,0.493114208
CHFN,Charter Financial Corp/MD,CS,13.33,$213.5M,Financials,Thrifts & Mortgage Finance,0.03289,17.87611,17.02319,0.15942,22.69492,0.323494637,1.5015,16.028,61.4419,0.774246513,0.574968778
NRIM,Northrim BanCorp Inc,CS,29.41,$200.1M,Financials,Banks,0.01784,4.36806,12.12492,0.21055,13,0.325889578,2.6072,6.863,59.3252,0.808267349,0.114894957
SGU,Star Gas Partners LP,UT,7.76,$445.1M,Utilities,Gas Utilities,0.07409,19.72265,14.34531,0.20543,10.37333,0.327125572,4.8906,57.282,20.7261,0.587617843,0.690132059
HSY,Hershey Co (The),CS,86.32,$13.6B,Consumer Staples,Food Products,1.21637,-11.7468,15.57369,0.15237,19.6629,0.329703364,2.68046,156.174,74.1399,0.296741271,0.546909308
LG,Laclede Group Inc. (The),CS,58.32,$2.5B,Utilities,Gas Utilities,0.26228,15.67738,14.90924,0.11902,16.68863,0.331705057,3.13672,43.323,81.9828,0.146647794,0.525935221
OKS,ONEOK Partners LP,UT,30.24,$8.6B,Energy,"Oil, Gas & Consumable Fuels",1.07541,-35.79667,0.25859,0.19744,14.74328,0.334296402,10.51231,285.826,47.9777,0.414307403,1.358106339
JOB,General Employ Enterprises Inc.,CS,6.9,$62.2M,Industrials,Professional Services,0.01429,310.45214,12.96365,2.8253,27.96,0.334439292,,8.893,24.27,0.880805017,2.244396646
ICUI,ICU Medical Inc,CS,113.64,$1.8B,Health Care,Health Care Equipment & Supplies,0.16194,36.0355,25.49486,0.21759,26.97735,0.335856546,,15.976,88.7519,0.412862351,0.661455762
CCBG,Capital City Bank Group,CS,15.63,$272.1M,Financials,Banks,0.01744,7.52033,6.10476,0.25952,23.29412,0.336292183,0.75614,17.144,28.1029,0.78148225,0.176790392
HTS,Hatteras Financial Corp,CSRT,14.07,$1.4B,Financials,Real Estate Investment Trusts (REITs),0.85399,-26.35699,-4.08011,0.17736,7.95791,0.339474531,12.75691,96.771,78.8479,,0.47656945
CCI,Crown Castle International Corp,CSRT,85.91,$28.7B,Financials,Real Estate Investment Trusts (REITs),2.11565,4.31463,18.06128,0.15155,64.29635,0.339755495,3.81085,333.771,94.8812,1.080441036,0.559824324
EXPE,Expedia Inc,CS,123.11,$16.1B,Consumer Discretionary,Internet & Catalog Retail,2.2377,44.44444,29.86351,0.32045,19.85226,0.34061852,0.77651,129.839,88.2614,1.662693896,1.183204909
SLH,Solera Holdings Inc,CS,53.73,$3.6B,Information Technology,Software,2.02474,1.67078,3.17744,0.26404,16.03774,0.342076943,1.68067,67.243,88.4921,,0.323458104
ROIC,Retail Opportunity Investments Corp,CSRT,18.29,$1.8B,Financials,Real Estate Investment Trusts (REITs),0.75226,11.45959,18.06349,0.15213,63.68056,0.342689158,3.67965,99.485,97.759,,0.618811178
ARTNA,Artesian Resources Corp,CS,26.21,$209.1M,Utilities,Water Utilities,0.02778,18.11927,10.69439,0.14822,19.90661,0.34459572,3.44233,8.122,37.5359,0.385556933,0.255975705
PNW,Pinnacle West Capital Corp,CS,63.36,$7B,Utilities,Electric Utilities,0.92287,0.92993,13.77941,0.15301,15.63872,0.344650253,3.97141,110.85,79.6286,0.514428684,0.467430505
EVBS,Eastern Virginia Bankshares Inc,CS,6.815,$89M,Financials,Banks,0.01472,7.92891,14.52709,0.3528,14.46809,0.344777269,1.17098,13.03,44.3367,0.44732081,-0.092070251
CHD,Church & Dwight Co. Inc.,CS,85.77,$11.4B,Consumer Staples,Household Products,0.65442,16.27069,23.83191,0.13721,24.79647,0.345258901,1.53828,131.123,80.5372,0.389075961,0.469051079
HTH,Hilltop Holdings Inc,CS,22.3,$2.2B,Financials,Banks,0.365,6.89325,17.64217,0.30857,12.7423,0.346451041,,98.896,52.0204,0.229275208,0.932893789
GIS,General Mills Inc.,CS,57.76,$34.9B,Consumer Staples,Food Products,3.28276,12.65188,14.21796,0.12662,18.50651,0.347282074,3.01318,597.688,68.765,0.238837785,0.530372432
CUNB,CU Bancorp/CA,CS,26.92,$459.6M,Financials,Banks,0.02868,36.6768,17.10655,0.17839,17.56579,0.348147701,,17.035,43.5152,0.531560281,0.45803719
T,AT&T Inc,CS,33.67,$206.5B,Telecommunication Services,Diversified Telecommunication Services,28.38669,-5.11588,9.57957,0.13567,11.89582,0.348934604,5.60024,6152,53.7943,0.570708787,0.680418883
SVA,Sinovac Biotech Ltd,CS,5.34,$302.5M,Health Care,Biotechnology,0.09491,7.32673,1.91321,0.35243,108.4,0.349797727,,55.81,23.9547,1.778289279,0.685976246
DLTR,Dollar Tree Inc,CS,75.46,$17.6B,Consumer Discretionary,Multiline Retail,3.45542,11.49391,21.50074,0.21512,19.86243,0.351886322,,234.796,96.4545,0.429635774,0.665795348
SKT,Tanger Factory Outlet Centers Inc.,CSRT,33.3,$3.2B,Financials,Real Estate Investment Trusts (REITs),0.68451,-7.89617,9.85395,0.14255,34.11943,0.352618602,3.38179,95.847,91.2487,0.622888448,0.371273167
LNCE,Snyders-Lance Inc,CS,37.08,$2.7B,Consumer Staples,Food Products,0.33817,26.99934,16.12097,0.2108,27.85401,0.354125427,1.66537,70.806,45.6923,0.56650915,0.500576067
MXL,MaxLinear Inc,CS,17.495,$1.1B,Information Technology,Semiconductors & Semiconductor Equipment,0.82042,134.14966,10.61985,0.43907,13.2792,0.357361173,,61.582,84.6759,,0.823486934
PRA,ProAssurance Corp,CS,52.89,$2.8B,Financials,Insurance,0.22513,22.52922,15.74388,0.13013,20.4604,0.359077028,2.35607,53.143,80.8081,0.408337285,0.313403714
EFC,Ellington Financial LLC,CS,17.7,$592.5M,Financials,Capital Markets,0.11154,-17.76438,8.80441,0.14917,7.89039,0.359209063,11.28032,33.417,47.0522,,0.473200026
BEP,Brookfield Renewable Energy Partners LP,UT,25.11,$3.6B,Utilities,Independent Power and Renew. Elect.Producers,0.05156,-21.52495,9.29461,0.14667,51.59091,0.359809269,6.63735,143.306,57.162,0.716616027,0.528756564
PNM,PNM Resources Inc.,CS,28.99,$2.3B,Utilities,Electric Utilities,0.60316,-0.72715,22.243,0.1855,17.47555,0.360478738,2.79037,79.654,89.4552,0.817438002,0.521076436
CYS,CYS Investments Inc,CSRT,7.58,$1.2B,Financials,Real Estate Investment Trusts (REITs),1.47536,-18.07359,3.34735,0.21303,7.19733,0.360786674,13.73844,154.803,65.7664,,0.385132068
AKO/A,Embotelladora Andina SA,DR,15.8,$1.3B,Consumer Staples,Beverages,0.00401,8.28441,-4.64938,0.25886,24.32741,0.363860693,2.94598,78.882,0.7302,0.517789907,-0.037105689
CNP,CenterPoint Energy Inc.,CS,16.96,$7.3B,Utilities,Multi-Utilities,4.04357,-28.98914,6.08408,0.15932,15.30466,0.364627625,5.82353,430.262,74.9612,0.60086807,0.737150406
GG,Goldcorp Inc.,CS,11.81,$9.6B,Materials,Metals & Mining,10.49405,-41.19145,-22.40216,0.36683,38.62876,0.366786309,2.07792,830.217,59.4294,0.447952501,-0.098270295
MCY,Mercury General Corp,CS,51.74,$2.8B,Financials,Insurance,0.16082,-7.07837,9.24182,0.18818,19.17762,0.367416155,4.79984,55.164,42.1106,0.69379513,0.631338967
DG,Dollar General Corp,CS,65.41,$19.2B,Consumer Discretionary,Multiline Retail,3.82157,-1.3655,14.90794,0.22118,14.41144,0.370463557,1.35364,294.66,89.7253,,0.223377968
QCRH,QCR Holdings Inc,CS,24.2,$285M,Financials,Banks,0.02954,35.34992,24.7736,0.20666,11.73494,0.373710272,0.32963,11.741,47.6576,0.360259228,0.336754858
